"titre","url","sous_titre","annee","mois","jour"
"La sondagite en 2005 : Présentation","https://www.acrimed.org/La-sondagite-en-2005-Presentation","Les sondages pendant la campagne référendaire de 2005 sur le Traité constitutionnel (...)",2010,"",""
"Questions de mots : présentation (en cours de rédaction)","https://www.acrimed.org/Questions-de-mots-presentation-en-cours-de-redaction","... La langue automatique d’un certain journalisme officiel",2010,"",""
"Un livre d’Acrimed : Médias et mobilisations sociales","https://www.acrimed.org/Un-livre-d-Acrimed-Medias-et-mobilisations-sociales","La morgue libérale et le mépris social ?",2010,"",""
"C’était hier : débats et initiatives (2010)","https://www.acrimed.org/C-etait-hier-debats-et-initiatives-2010","Liste chronologique",2010,"",""
"Jeudi d’Acrimed : « Télévision et politique : la télé-politique de Nicolas Sarkozy », le 1er avril","https://www.acrimed.org/Jeudi-d-Acrimed-Television-et-politique-la-tele-politique-de-Nicolas-Sarkozy-le","Avec Pierre Musso, auteur de Télé-politique. Le sarkoberlusconisme à l’écran, Éditions de l’Aube. La (...)",2010,"",""
"Les méfaits de la sondomanie en 2006-2007","https://www.acrimed.org/Les-mefaits-de-la-sondomanie-en-2006-2007","Des approximations trompeuses. Des incitations ravageuses.",2010,"",""
"Jeudi d’Acrimed : « Critique de l’édition et édition alternative », le 27 mai","https://www.acrimed.org/Jeudi-d-Acrimed-Critique-de-l-edition-et-edition-alternative-le-27-mai","Quelles évolutions dans le domaine de l’édition ? Quelle place pour les (petits) éditeurs qui (...)",2010,"",""
"Référendum de 2005 : Vous avez dit « équité » ?","https://www.acrimed.org/Referendum-de-2005-Vous-avez-dit-equite","... Des déséquilibres flagrants",2009,"",""
"Se faire plaisir pour les fêtes ? Acrimed y a pensé…","https://www.acrimed.org/Se-faire-plaisir-pour-les-fetes-Acrimed-y-a-pense","… Et vous offre un plaisir de choix.",2009,"",""
"C’était hier : débats et initiatives (2009)","https://www.acrimed.org/C-etait-hier-debats-et-initiatives-2009","Récapitulatif des annonces parues sur notre Agenda.",2009,"",""
"Les auteurs d’articles sur le site","https://www.acrimed.org/Les-auteurs-d-articles-sur-le-site","Liste des auteur-e-s et défense de leur droit à l’anonymat dans un milieu professionnel allergique (...)",2009,"",""
"C’était hier : débats sur les médias (2008)","https://www.acrimed.org/C-etait-hier-debats-sur-les-medias-2008","Liste des débats sur les médias - Interventions au nom d’Acrimed ou à un autre titre (Diplo, Plan (...)",2008,"",""
"La liberté d’expression (du 8 au 17 février 2008) à la MJC de Persan","https://www.acrimed.org/La-liberte-d-expression-du-8-au-17-fevrier-2008-a-la-MJC-de-Persan","En collaboration avec Acrimed et la Ligue des Droits de l’homme",2008,"",""
"Quelques autres écoles...","https://www.acrimed.org/Quelques-autres-ecoles","Une simple liste à compléter.",2008,"",""
"Les écoles reconnues","https://www.acrimed.org/Les-ecoles-reconnues","Ecoles reconnues par la Commission nationale paritaire de l’emploi des journalistes (...)",2008,"",""
"Syndicats et associations de journalistes","https://www.acrimed.org/Syndicats-et-associations-de-journalistes","Coordonnées des principaux syndicats et associations de journalistes.",2008,"",""
"Mentions légales","https://www.acrimed.org/Mentions-legales","Le site d’Acrimed et la reproduction des articles.",2008,"",""
"Quelques médias belges","https://www.acrimed.org/Quelques-medias-belges","Une liste provisoire des sites internet",2008,"",""
"Sociétés d’auteurs et de perception de droits","https://www.acrimed.org/Societes-d-auteurs-et-de-perception-de-droits","Coordonnée de la SCAM, de la Société des Auteurs des arts graphiques et plastiques, de la (...)",2008,"",""
" Violences  sur petits écrans","https://www.acrimed.org/Violences-sur-petits-ecrans","Une affaire de mots, de bruit, de fréquence, et dramatisation.",2008,"",""
"C’était hier : débats sur les médias (janvier - décembre 2007)","https://www.acrimed.org/C-etait-hier-debats-sur-les-medias-janvier-decembre-2007","Liste approximative et évolutive",2007,"",""
"Télé Millevaches fête ses 20 ans","https://www.acrimed.org/Tele-Millevaches-fete-ses-20-ans","28-29-30 Septembre 2006 Faux la Montagne",2006,"",""
"Projection d’ « Enfin pris », suivie d’un débat","https://www.acrimed.org/Projection-d-Enfin-pris-suivie-d-un-debat","22 novembre, à Paris. Avec Mathias Reymond et Grégory Rzepskid’Acrimed",2006,"",""
"« Internet et les médias alternatifs d’informations »","https://www.acrimed.org/Internet-et-les-medias-alternatifs-d-informations","Le samedi 9 décembre, à Paris de 15h à 17h : « Internet et les médias alternatifs d’informations » (...)",2006,"",""
"Critique des médias et alternatives","https://www.acrimed.org/Critique-des-medias-et-alternatives","Le 7 décembre à Toulouse. Avec Acrimed Toulouse et des journaux indépendants.",2006,"",""
"« I » - L’Argentine, Indymedia et les questions de communication »","https://www.acrimed.org/I-L-Argentine-Indymedia-et-les-questions-de-communication","Projections décentralisées en France du 1 au 7 novembre 2006.",2006,"",""
"Guérilla Numérique - 10 ans de résistances sur l’Internet","https://www.acrimed.org/Guerilla-Numerique-10-ans-de-resistances-sur-l-Internet","17 juin à Saint-Denis.",2006,"",""
"« Les médias contre la démocratie ? »","https://www.acrimed.org/Les-medias-contre-la-democratie","Jeudi 1er juin, à Paris. Projection-débat de « Désentubages cathodiques », Antoine Schwartz (...)",2006,"",""
"« Médias dominants : concentration financière et pensée unique »","https://www.acrimed.org/Medias-dominants-concentration-financiere-et-pensee-unique","Jeudi 29 juin à Montreuil - Avec Serge Halimi et Pierre Rimbert",2006,"",""
